AlphaBatchID,Detector,AnalysisDateTime,SampleDate,SampleAliquot,SampleID,ActivityUnits,MassUnits,TracerAliquotGrams,FileName,PercentAbundance,MDAConfidenceFactor,MDALLDConstant,EnergyCalibrationDateTime,EfficiencyCalibrationDateTime,BackgroundFile,TracerRecovery,AlphaChamber,ChamberEfficiency,AcquisitionDateTime,ElapsedLiveTime,TracerFWHM,Analyte,NetArea,BackgroundArea,Activity,Uncertainty,MDC
YU02,DET 1,10/3/2024 13:28:48,9/9/2024 12:00:03,4.02000E-01,24LC14-FSS-30-T523-0909-009,pCi,grams,2.67500E-01,U232-LRS038,1.00000E+02,3.2900,3.0000,12/26/2023 11:34:56,12/26/2023 11:34:57,C:\Canberra\ApexAlpha\Root\Data\0000025018.Cnf,7.57454E+01,A_1_1A,1.93848E+01,10/1/2024 13:21:38,1.44000E+04,1.89654E+01,U232,3.27000E+02,0.00000E+00,1.04249E+01,1.29394E+00,2.00528E-01
YU02,DET 1,10/3/2024 13:28:48,9/9/2024 12:00:03,4.02000E-01,24LC14-FSS-30-T523-0909-009,pCi,grams,2.67500E-01,U232-LRS038,1.00000E+02,3.2900,3.0000,12/26/2023 11:34:56,12/26/2023 11:34:57,C:\Canberra\ApexAlpha\Root\Data\0000025018.Cnf,7.57454E+01,A_1_1A,1.93848E+01,10/1/2024 13:21:38,1.44000E+04,1.89654E+01,U-234,3.46667E+01,3.33333E-01,1.10452E+00,4.01421E-01,1.60952E-01
YU02,DET 1,10/3/2024 13:28:48,9/9/2024 12:00:03,4.02000E-01,24LC14-FSS-30-T523-0909-009,pCi,grams,2.67500E-01,U232-LRS038,1.00000E+02,3.2900,3.0000,12/26/2023 11:34:56,12/26/2023 11:34:57,C:\Canberra\ApexAlpha\Root\Data\0000025018.Cnf,7.57454E+01,A_1_1A,1.93848E+01,10/1/2024 13:21:38,1.44000E+04,1.89654E+01,U-235,2.83333E+00,1.66666E-01,1.11363E-01,1.37481E-01,1.74935E-01
YU02,DET 1,10/3/2024 13:28:48,9/9/2024 12:00:03,4.02000E-01,24LC14-FSS-30-T523-0909-009,pCi,grams,2.67500E-01,U232-LRS038,1.00000E+02,3.2900,3.0000,12/26/2023 11:34:56,12/26/2023 11:34:57,C:\Canberra\ApexAlpha\Root\Data\0000025018.Cnf,7.57454E+01,A_1_1A,1.93848E+01,10/1/2024 13:21:38,1.44000E+04,1.89654E+01,U-238,4.60000E+01,0.00000E+00,1.45932E+00,4.71190E-01,1.99547E-01
YU02,DET 15,10/3/2024 13:28:48,9/30/2024 16:00:03,2.57200E-01,24LLB0005BLK,pCi,grams,2.69000E-01,U232-LRS038,1.00000E+02,3.2900,3.0000,1/2/2024 11:40:57,1/2/2024 11:40:58,C:\Canberra\ApexAlpha\Root\Data\0000025008.Cnf,9.39226E+01,B_1_2A,1.96267E+01,10/1/2024 13:22:01,1.44000E+04,2.89202E+01,U232,4.12833E+02,1.66667E-01,1.63758E+01,1.85486E+00,1.76548E-01
YU02,DET 15,10/3/2024 13:28:48,9/30/2024 16:00:03,2.57200E-01,24LLB0005BLK,pCi,grams,2.69000E-01,U232-LRS038,1.00000E+02,3.2900,3.0000,1/2/2024 11:40:57,1/2/2024 11:40:58,C:\Canberra\ApexAlpha\Root\Data\0000025008.Cnf,9.39226E+01,B_1_2A,1.96267E+01,10/1/2024 13:22:01,1.44000E+04,2.89202E+01,U-234,2.00000E+00,0.00000E+00,7.93319E-02,1.37700E-01,2.49499E-01
YU02,DET 15,10/3/2024 13:28:48,9/30/2024 16:00:03,2.57200E-01,24LLB0005BLK,pCi,grams,2.69000E-01,U232-LRS038,1.00000E+02,3.2900,3.0000,1/2/2024 11:40:57,1/2/2024 11:40:58,C:\Canberra\ApexAlpha\Root\Data\0000025008.Cnf,9.39226E+01,B_1_2A,1.96267E+01,10/1/2024 13:22:01,1.44000E+04,2.89202E+01,U-235,0.00000E+00,0.00000E+00,0.00000E+00,1.38403E-01,3.07787E-01
YU02,DET 15,10/3/2024 13:28:48,9/30/2024 16:00:03,2.57200E-01,24LLB0005BLK,pCi,grams,2.69000E-01,U232-LRS038,1.00000E+02,3.2900,3.0000,1/2/2024 11:40:57,1/2/2024 11:40:58,C:\Canberra\ApexAlpha\Root\Data\0000025008.Cnf,9.39226E+01,B_1_2A,1.96267E+01,10/1/2024 13:22:01,1.44000E+04,2.89202E+01,U-238,1.83333E+00,1.66667E-01,7.24089E-02,1.12783E-01,1.75786E-01
YU02,DET 16,10/3/2024 13:28:49,12/8/2021 12:00:03,2.63800E-01,24LLB0005LCS,pCi,grams,2.67700E-01,U232-LRS038,1.00000E+02,3.2900,3.0000,1/2/2024 11:41:46,1/2/2024 11:41:46,C:\Canberra\ApexAlpha\Root\Data\0000025009.Cnf,9.12756E+01,B_1_2B,2.00563E+01,10/1/2024 13:22:02,1.44000E+04,1.06365E+01,U232,4.08000E+02,0.00000E+00,1.63449E+01,1.86103E+00,2.51984E-01
YU02,DET 16,10/3/2024 13:28:49,12/8/2021 12:00:03,2.63800E-01,24LLB0005LCS,pCi,grams,2.67700E-01,U232-LRS038,1.00000E+02,3.2900,3.0000,1/2/2024 11:41:46,1/2/2024 11:41:46,C:\Canberra\ApexAlpha\Root\Data\0000025009.Cnf,9.12756E+01,B_1_2B,2.00563E+01,10/1/2024 13:22:02,1.44000E+04,1.06365E+01,U-234,3.79833E+02,1.66667E-01,1.47918E+01,2.26755E+00,1.73325E-01
