SDG,SampleID,BatchID,Result,ResultUnits,PPB,MicroGrams
25LL0001,24LLB0001CAL1,24LLB0001,1099.77,RFU,0.0,0.0
25LL0001,24LLB0001CAL2,24LLB0001,1251.18,RFU,0.05,0.005
25LL0001,24LLB0001CAL3,24LLB0001,6872.42,RFU,2.0,0.2
25LL0001,24LLB0001CAL4,24LLB0001,31313.9,RFU,10.0,1.0
25LL0001,24LLB0001CAL5,24LLB0001,124342.61,RFU,40.0,4.0
25LL0001,23LC14-FSS-10-RB03-0403-009,24LLB0001,733.09,RFU,-0.04447,-0.00445
25LL0001,24LLB0001BLK,24LLB0001,726.45,RFU,-0.04663,-0.00466
25LL0001,24LLB0001LCS,24LLB0001,15355.59,RFU,4.69678,0.46968
25LL0001,23LC14-FSS-10-RB03-0403-010,24LLB0001,748.73,RFU,-0.0394,-0.00394
25LL0001,24LLB0001DUP,24LLB0001,938.52,RFU,0.02214,0.00221
25LL0001,23LC14-FSS-10-RB03-0403-011,24LLB0001,755.42,RFU,-0.03723,-0.00372
25LL0001,23LC14-FSS-10-RB03-0403-B01,24LLB0001,677.01,RFU,-0.06266,-0.00627
