SampleID,Analyte,Procedure,AcquisitionDateTime,AnalysisDateTime,DetectorSN,LiveTime,Result,ResultError,MDA,Aliquot,EfficiencyFactor,AliquotUnits,EfficiencyCalibrationDateTime
24LLB0001BLK,GrossAlpha,AB ERA Air Filter pCi,10/2/2024 13:55,10/3/2024,508,3600.0,3.38e-08,1.18e-07,2.37e-07,1.0,0.29,mL,1/26/2024 13:43
24LLB0001BLK,GrossBeta,AB ERA Air Filter pCi,10/2/2024 13:55,10/3/2024,508,3600.0,3.04e-06,5.54e-07,4.04e-07,1.0,0.446,mL,1/26/2024 13:43
24LLB0001LCSA,GrossAlpha,AB ERA Air Filter pCi,10/2/2024 14:55,10/3/2024,508,3600.0,0.000403,3.15e-05,2.35e-07,1.0,0.29,mL,1/26/2024 13:43
24LLB0001LCSA,GrossBeta,AB ERA Air Filter pCi,10/2/2024 14:55,10/3/2024,508,3600.0,2.25e-06,2.91e-06,4.78e-06,1.0,0.446,mL,1/26/2024 13:43
24LLB0001LCSB,GrossAlpha,AB ERA Air Filter pCi,10/2/2024 15:56,10/3/2024,508,3600.0,-4.75e-07,4.33e-07,8.21e-07,1.0,0.29,mL,1/26/2024 13:43
24LLB0001LCSB,GrossBeta,AB ERA Air Filter pCi,10/2/2024 15:56,10/3/2024,508,3600.0,0.000277,2.17e-05,4.03e-07,1.0,0.446,mL,1/26/2024 13:43
24LLB0001DUP,GrossAlpha,AB ERA Air Filter pCi,10/3/2024 3:58,10/3/2024,508,3600.0,1.34e-14,6.99e-15,6.75e-15,35300000.0,0.29,mL,1/26/2024 13:43
24LLB0001DUP,GrossBeta,AB ERA Air Filter pCi,10/3/2024 3:58,10/3/2024,508,3600.0,9.77e-14,1.68e-14,1.18e-14,35300000.0,0.446,mL,1/26/2024 13:43
24LC14-FSS-30-T523-0909-009,GrossAlpha,AB ERA Air Filter pCi,10/2/2024 12:55,10/3/2024,508,3600.0,8.29e-15,5.75e-15,6.74e-15,35300000.0,0.29,mL,1/26/2024 13:43
24LC14-FSS-30-T523-0909-009,GrossBeta,AB ERA Air Filter pCi,10/2/2024 12:55,10/3/2024,508,3600.0,9.11e-14,1.62e-14,1.17e-14,35300000.0,0.446,mL,1/26/2024 13:43
24LC14-FSS-30-T523-0909-010,GrossAlpha,AB ERA Air Filter pCi,10/2/2024 16:56,10/3/2024,508,3600.0,9.82e-15,6.18e-15,6.81e-15,35000000.0,0.29,mL,1/26/2024 13:43
24LC14-FSS-30-T523-0909-010,GrossBeta,AB ERA Air Filter pCi,10/2/2024 16:56,10/3/2024,508,3600.0,9.8e-14,1.69e-14,1.18e-14,35000000.0,0.446,mL,1/26/2024 13:43
24LC14-FSS-30-T523-0909-010D,GrossAlpha,AB ERA Air Filter pCi,10/2/2024 17:56,10/3/2024,508,3600.0,2.79e-15,2.19e-15,2.76e-15,86300000.0,0.29,mL,1/26/2024 13:43
24LC14-FSS-30-T523-0909-010D,GrossBeta,AB ERA Air Filter pCi,10/2/2024 17:56,10/3/2024,508,3600.0,3.83e-14,6.72e-15,4.75e-15,86300000.0,0.446,mL,1/26/2024 13:43
24LC14-FSS-30-T523-0909-011,GrossAlpha,AB ERA Air Filter pCi,10/2/2024 18:56,10/3/2024,508,3600.0,3.97e-15,2.51e-15,2.78e-15,86200000.0,0.29,mL,1/26/2024 13:43
24LC14-FSS-30-T523-0909-011,GrossBeta,AB ERA Air Filter pCi,10/2/2024 18:56,10/3/2024,508,3600.0,4.66e-14,7.48e-15,4.8e-15,86200000.0,0.446,mL,1/26/2024 13:43
24LC14-FSS-30-T523-0909-012,GrossAlpha,AB ERA Air Filter pCi,10/2/2024 19:57,10/3/2024,508,3600.0,3.07e-15,2.27e-15,2.76e-15,86500000.0,0.29,mL,1/26/2024 13:43
24LC14-FSS-30-T523-0909-012,GrossBeta,AB ERA Air Filter pCi,10/2/2024 19:57,10/3/2024,508,3600.0,4.03e-14,6.89e-15,4.75e-15,86500000.0,0.446,mL,1/26/2024 13:43
24LC14-FSS-30-T523-0909-015,GrossAlpha,AB ERA Air Filter pCi,10/2/2024 20:57,10/3/2024,508,3600.0,4.83e-15,2.73e-15,2.82e-15,86200000.0,0.29,mL,1/26/2024 13:43
24LC14-FSS-30-T523-0909-015,GrossBeta,AB ERA Air Filter pCi,10/2/2024 20:57,10/3/2024,508,3600.0,5.9e-14,8.56e-15,4.82e-15,86200000.0,0.446,mL,1/26/2024 13:43
24LC14-FSS-30-T523-0909-016,GrossAlpha,AB ERA Air Filter pCi,10/2/2024 21:57,10/3/2024,508,3600.0,5.16e-15,4.75e-15,6.5e-15,36600000.0,0.29,mL,1/26/2024 13:43
24LC14-FSS-30-T523-0909-016,GrossBeta,AB ERA Air Filter pCi,10/2/2024 21:57,10/3/2024,508,3600.0,8.91e-14,1.57e-14,1.12e-14,36600000.0,0.446,mL,1/26/2024 13:43
24LC14-FSS-30-T523-0909-016D,GrossAlpha,AB ERA Air Filter pCi,10/2/2024 22:57,10/3/2024,508,3600.0,4.4e-15,4.48e-15,6.43e-15,37000000.0,0.29,mL,1/26/2024 13:43
24LC14-FSS-30-T523-0909-016D,GrossBeta,AB ERA Air Filter pCi,10/2/2024 22:57,10/3/2024,508,3600.0,8.82e-14,1.55e-14,1.1e-14,37000000.0,0.446,mL,1/26/2024 13:43
