SampleID,Detector,Geometry,AcquisitionStartDateTime,AnalysisDateTime,Livetime,EnergyDateTime,EfficiencyDateTime,SampleDateTime,SampleSize,SampleSizeUnits,ActivityUnits,ErrorMultiplier,Analyte,NuclideDetected,Activity,ActivityError,MDA,MDAError,ActivityMDARatio
24LC14-FSS-30-T523-0909-009,DET02,500MARSOIL,10/2/2024 14:56,10/2/2024 15:56,3600,9/30/2024 12:03,9/30/2024 12:05,9/27/2024 10:40,750,grams,pCi,2,K-40,YES,2.07E+01,2.66E+00,2.70E-01,3.31E-02,76.455
24LC14-FSS-30-T523-0909-009,DET02,500MARSOIL,10/2/2024 14:56,10/2/2024 15:56,3600,9/30/2024 12:03,9/30/2024 12:05,9/27/2024 10:40,750,grams,pCi,2,CS-137,NO,-2.42E-02,1.78E-02,2.75E-02,1.16E-03,-0.879
24LC14-FSS-30-T523-0909-009,DET02,500MARSOIL,10/2/2024 14:56,10/2/2024 15:56,3600,9/30/2024 12:03,9/30/2024 12:05,9/27/2024 10:40,750,grams,pCi,2,PB-210,YES,1.58E+00,3.97E-01,5.57E-01,4.72E-02,2.833
24LC14-FSS-30-T523-0909-009,DET02,500MARSOIL,10/2/2024 14:56,10/2/2024 15:56,3600,9/30/2024 12:03,9/30/2024 12:05,9/27/2024 10:40,750,grams,pCi,2,RA-226,YES,1.10E+00,5.09E-02,4.52E-02,2.48E-03,24.372
24LC14-FSS-30-T523-0909-009,DET02,500MARSOIL,10/2/2024 14:56,10/2/2024 15:56,3600,9/30/2024 12:03,9/30/2024 12:05,9/27/2024 10:40,750,grams,pCi,2,AC-227,NO,-9.09E-02,1.69E-01,2.80E-01,2.18E-02,-0.324
24LC14-FSS-30-T523-0909-009,DET02,500MARSOIL,10/2/2024 14:56,10/2/2024 15:56,3600,9/30/2024 12:03,9/30/2024 12:05,9/27/2024 10:40,750,grams,pCi,2,AC-228,YES,9.06E-01,1.12E-01,7.23E-02,1.47E-02,12.533
24LC14-FSS-30-T523-0909-009,DET02,500MARSOIL,10/2/2024 14:56,10/2/2024 15:56,3600,9/30/2024 12:03,9/30/2024 12:05,9/27/2024 10:40,750,grams,pCi,2,TH-230,NO,1.68E+00,3.38E+00,5.65E+00,7.21E-01,0.298
24LC14-FSS-30-T523-0909-009,DET02,500MARSOIL,10/2/2024 14:56,10/2/2024 15:56,3600,9/30/2024 12:03,9/30/2024 12:05,9/27/2024 10:40,750,grams,pCi,2,PA-231,NO,6.23E-02,6.13E-01,1.04E+00,1.38E-01,0.06
24LC14-FSS-30-T523-0909-009,DET02,500MARSOIL,10/2/2024 14:56,10/2/2024 15:56,3600,9/30/2024 12:03,9/30/2024 12:05,9/27/2024 10:40,750,grams,pCi,2,U-235,NO,-9.53E-03,2.09E-01,3.50E-01,6.18E-02,-0.027
24LC14-FSS-30-T523-0909-009,DET02,500MARSOIL,10/2/2024 14:56,10/2/2024 15:56,3600,9/30/2024 12:03,9/30/2024 12:05,9/27/2024 10:40,750,grams,pCi,2,U-238,YES,1.50E+00,2.41E-01,4.19E-01,6.56E-02,3.583
24LC14-FSS-30-T523-0909-009,DET02,500MARSOIL,10/2/2024 14:56,10/2/2024 15:56,3600,9/30/2024 12:03,9/30/2024 12:05,9/27/2024 10:40,750,grams,pCi,2,AM-241,NO,-3.78E-03,3.52E-02,5.83E-02,3.69E-03,-0.065
