Sample Name,Date and Time Acquired,Dilution Factor,Misc. Info or Comment,Data File Name,Batch Name,Data Path,Operator,Instrument Name,Sample Weight or Volume,Final Weight or Volume,Dilution Multiplier,Analyte,Element Full Name,Mass,ISTD Ref Mass,Concentration,Conc RSD,CPS Mean,CPS Rep1,CPS Rep2,CPS Rep3,CPS Rep4,CPS Rep5,CPS RSD,Units
AF_CalBLK,10/3/2024 15:53,1,,008CALB.d,ICPMS2_ISIS_241003_AF.b,D:\Agilent\ICPMH\1\DATA,RScheanwald,ICP-MS,1,1,1,Li,lithium,6,,,,3410972.88,3468107.69,3399991.76,3351204.72,3387363.23,3448196.99,1.4,
AF_CalBLK,10/3/2024 15:53,1,,008CALB.d,ICPMS2_ISIS_241003_AF.b,D:\Agilent\ICPMH\1\DATA,RScheanwald,ICP-MS,1,1,1,Be,beryllium,9,6,0,N/A,43.33,33.33,50,33.33,50,50,21.1,ug/sample
AF_CalBLK,10/3/2024 15:53,1,,008CALB.d,ICPMS2_ISIS_241003_AF.b,D:\Agilent\ICPMH\1\DATA,RScheanwald,ICP-MS,1,1,1,Sc,scandium,45,,,,12940919.28,13192548.96,12915552.6,12724395.82,12778959.45,13093139.55,1.5,
AF_CalBLK,10/3/2024 15:53,1,,008CALB.d,ICPMS2_ISIS_241003_AF.b,D:\Agilent\ICPMH\1\DATA,RScheanwald,ICP-MS,1,1,1,Tb,terbium,159,,,,5270425.2,5266236.19,5434015.75,5141613.92,5240236.58,5270023.56,2,
AF_CalBLK,10/3/2024 15:53,1,,008CALB.d,ICPMS2_ISIS_241003_AF.b,D:\Agilent\ICPMH\1\DATA,RScheanwald,ICP-MS,1,1,1,Pb,lead,208,,0,N/A,855.61,883.38,916.73,Rejected,Rejected,Rejected,9.2,ug/sample
AF_CalBLK,10/3/2024 15:53,1,,008CALB.d,ICPMS2_ISIS_241003_AF.b,D:\Agilent\ICPMH\1\DATA,RScheanwald,ICP-MS,1,1,1,Bi,bismuth,209,,,,4253364.05,4219433.17,4294972.62,4186816.37,4193847.36,4371750.75,1.9,
AF_0.005Cal_240930,10/3/2024 15:54,1,,009CALS.d,ICPMS2_ISIS_241003_AF.b,D:\Agilent\ICPMH\1\DATA,RScheanwald,ICP-MS,1,1,1,Li,lithium,6,,,,3415803.43,3366293.06,3466048.73,3358963.99,3493994.78,3393716.61,1.8,
AF_0.005Cal_240930,10/3/2024 15:54,1,,009CALS.d,ICPMS2_ISIS_241003_AF.b,D:\Agilent\ICPMH\1\DATA,RScheanwald,ICP-MS,1,1,1,Be,beryllium,9,6,0.0044,4,1226.78,1166.78,1216.78,1283.45,1250.11,1216.78,3.5,ug/sample
AF_0.005Cal_240930,10/3/2024 15:54,1,,009CALS.d,ICPMS2_ISIS_241003_AF.b,D:\Agilent\ICPMH\1\DATA,RScheanwald,ICP-MS,1,1,1,Sc,scandium,45,,,,12843297.22,12498067,12867259.93,12994010.11,13007017.5,12850131.55,1.6,
AF_0.005Cal_240930,10/3/2024 15:54,1,,009CALS.d,ICPMS2_ISIS_241003_AF.b,D:\Agilent\ICPMH\1\DATA,RScheanwald,ICP-MS,1,1,1,Tb,terbium,159,,,,5241232.18,5179202.72,5268755.2,5256824.86,5282540.87,5218837.23,0.8,
AF_0.005Cal_240930,10/3/2024 15:54,1,,009CALS.d,ICPMS2_ISIS_241003_AF.b,D:\Agilent\ICPMH\1\DATA,RScheanwald,ICP-MS,1,1,1,Pb,lead,208,,0.0044,1.8,6367.66,6417.67,Rejected,6251.03,Rejected,6434.29,1.6,ug/sample
AF_0.005Cal_240930,10/3/2024 15:54,1,,009CALS.d,ICPMS2_ISIS_241003_AF.b,D:\Agilent\ICPMH\1\DATA,RScheanwald,ICP-MS,1,1,1,Bi,bismuth,209,,,,4247734.83,4201130.69,4276040.59,4253645.28,4261768.32,4246089.29,0.7,
AF_0.05Cal_240930,10/3/2024 15:55,1,,010CALS.d,ICPMS2_ISIS_241003_AF.b,D:\Agilent\ICPMH\1\DATA,RScheanwald,ICP-MS,1,1,1,Li,lithium,6,,,,3412929.73,3344151.52,3399427.06,3405379.56,3374340.67,3541349.84,2.2,
AF_0.05Cal_240930,10/3/2024 15:55,1,,010CALS.d,ICPMS2_ISIS_241003_AF.b,D:\Agilent\ICPMH\1\DATA,RScheanwald,ICP-MS,1,1,1,Be,beryllium,9,6,0.0437,2,11765.25,11204.9,11688.6,12055.39,11555,12322.36,3.7,ug/sample
AF_0.05Cal_240930,10/3/2024 15:55,1,,010CALS.d,ICPMS2_ISIS_241003_AF.b,D:\Agilent\ICPMH\1\DATA,RScheanwald,ICP-MS,1,1,1,Sc,scandium,45,,,,12933750.36,12814793.09,12774712.7,12885795.97,12934944.8,13258505.23,1.5,
