,AFIID,LOCID,LOGDATE,LOGTIME,MATRIX,SBD,SED,SACODE,SAMPNO,LOGCODE,SMCODE,FLDSAMPID,COCID,COOLER,ABLOT,EBLOT,TBLOT,REMARKS,SDG,LABCODE,ANMCODE,EXMCODE,LCHMETH,RUN_NUMBER,LABSAMPID,EXTDATE,EXTTIME,LCHDATE,LCHTIME,LCHLOT,ANADATE,ANATIME,ANALOT,LABLOTCTL,CALREFID,RTTYPE,BASIS,PARLABEL,PRCCODE,PARVQ,PARVAL,PARUN,PRECISION_,EXPECTED,EVPREC,MDL,RL,UNITS,VQ_1C,VAL_1C,FCVALPREC,VQ_CONFIRM,VAL_CONFIRM,CNFVALPREC,DILUTION,PRIME_DQT,PRIME_FLAG,LAB_DQT,LAB_QC_FLAG,BEST_RESULT,REASON_CODE,PERCENT_RECOVERY,RPD,UPPER_RPD,UPPER_ACCURACY,LOWER_ACCURACY,SPIKE_ADDED,SPIKE_ADDED_PREC,VALCODE,TIC_NAME,RETENTION_TIME,LOD
0,SLDA,Lab,27-Feb-2025,1425,AQ,,,QC,,,,25SL0001CL1BLK,P1067230,,,,,,25SL0001,SLDA,C925.1,SL050,,1,25SL0001CL1BLK,09-May-2025,1339,,,,07-Mar-2025,0900,25SL0001CL1,25SL0001CL1,,,,CHLORIDE,ORG,=,0.504,,3,,,2.672331,,mg/L,,,,,,,1.0,,,,,Y,,,,,6.000,-6.000,,,,,,6.000
2,SLDA,A-WWTP,27-Feb-2025,1425,AQ,,,NO,,,,25WW00001,P1067230,,,,,,25SL0001,SLDA,C925.1,SL050,,1,25WW00001,09-May-2025,1339,,,,07-Mar-2025,0903,25SL0001CL1,25SL0001CL1,,,,CHLORIDE,ORG,=,79.215,,3,,,2.672331,,mg/L,,,,,,,1.0,,,,J,Y,,,,,,,,,,,,6.000
3,SLDA,Lab,27-Feb-2025,1425,AQ,,,QC,,,,25WW00001DUP,P1067230,,,,,,25SL0001,SLDA,C925.1,SL050,,1,25WW00001DUP,09-May-2025,1339,,,,07-Mar-2025,0903,25SL0001CL1,25SL0001CL1,,,,CHLORIDE,ORG,=,80.428,,3,,,2.672331,,mg/L,,,,,,,1.0,,,,J,Y,,,1.52,20.0,,,,,,,,6.000
1,SLDA,Lab,27-Feb-2025,1425,AQ,,,QC,,,,25SL0001CL1LCS,P1067230,,,,,,25SL0001,SLDA,C925.1,SL050,,1,25SL0001CL1LCS,09-May-2025,1339,,,,07-Mar-2025,0902,25SL0001CL1,25SL0001CL1,,,,CHLORIDE,ORG,=,150.134,,3,7499.95,3,2.672331,,mg/L,,,,,,,1.0,,,,,Y,,100.0893,,,120.00,80.00,,,,,,6.00
4,SLDA,Lab,27-Feb-2025,1425,AQ,,,QC,,,,25SL0001FLUOR1BLK,P1067230,,,,,,25SL0001,SLDA,SM4500-F-C,SL040,,1,25SL0001FLUOR1BLK,09-May-2025,1329,,,,06-Mar-2025,1218,25SL0001FLUOR1,25SL0001FLUOR1,,,,FLUORIDE,ORG,=,0.019,,3,,,0.025386,,mg/L,,,,,,,1.0,,,,B,Y,,,,,0.200,-0.200,,,,,,0.200
6,SLDA,A-WWTP,27-Feb-2025,1425,AQ,,,NO,,,,25WW00001,P1067230,,,,,,25SL0001,SLDA,SM4500-F-C,SL040,,1,25WW00001,09-May-2025,1329,,,,06-Mar-2025,1225,25SL0001FLUOR1,25SL0001FLUOR1,,,,FLUORIDE,ORG,=,0.126,,3,,,0.025386,,mg/L,,,,,,,1.0,,,,B,Y,,,,,,,,,,,,0.200
7,SLDA,Lab,27-Feb-2025,1425,AQ,,,QC,,,,25WW00001DUP,P1067230,,,,,,25SL0001,SLDA,SM4500-F-C,SL040,,1,25WW00001DUP,09-May-2025,1329,,,,06-Mar-2025,1230,25SL0001FLUOR1,25SL0001FLUOR1,,,,FLUORIDE,ORG,=,0.119,,3,,,0.025386,,mg/L,,,,,,,1.0,,,,B,Y,,,,20.0,,,,,,,,0.200
5,SLDA,Lab,27-Feb-2025,1425,AQ,,,QC,,,,25SL0001FLUOR1LCS,P1067230,,,,,,25SL0001,SLDA,SM4500-F-C,SL040,,1,25SL0001FLUOR1LCS,09-May-2025,1329,,,,06-Mar-2025,1224,25SL0001FLUOR1,25SL0001FLUOR1,,,,FLUORIDE,ORG,=,1.960,,3,60.0,3,0.025386,,mg/L,,,,,,,1.0,,,,,Y,,98.0,,,120.00,80.00,,,,,,0.20
8,SLDA,Lab,27-Feb-2025,1425,AQ,,,QC,,,,25SL0001GAMMA1BLK,P1067230,,,,,,25SL0001,SLDA,GA01R,SL003,,1,25SL0001GAMMA1BLK,09-May-2025,1207,,,,12-Mar-2025,1700,25SL0001GAMMA1,25SL0001GAMMA1,,,,AC-227,RN,=,-42.40,82.8,2,,,,,pCi/L,,,,,,,1.0,,,,,Y,,,,,149.00,-145.00,,,,,,
9,SLDA,Lab,27-Feb-2025,1425,AQ,,,QC,,,,25SL0001GAMMA1BLK,P1067230,,,,,,25SL0001,SLDA,GA01R,SL003,,1,25SL0001GAMMA1BLK,09-May-2025,1207,,,,12-Mar-2025,1700,25SL0001GAMMA1,25SL0001GAMMA1,,,,AC-228,RN,=,12.30,22.0,2,,,,,pCi/L,,,,,,,1.0,,,,,Y,,,,,47.60,-39.40,,,,,,
10,SLDA,Lab,27-Feb-2025,1425,AQ,,,QC,,,,25SL0001GAMMA1BLK,P1067230,,,,,,25SL0001,SLDA,GA01R,SL003,,1,25SL0001GAMMA1BLK,09-May-2025,1207,,,,12-Mar-2025,1700,25SL0001GAMMA1,25SL0001GAMMA1,,,,AM-241,RN,=,7.51,12.0,2,,,,,pCi/L,,,,,,,1.0,,,,,Y,,,,,15.00,-19.00,,,,,,
11,SLDA,Lab,27-Feb-2025,1425,AQ,,,QC,,,,25SL0001GAMMA1BLK,P1067230,,,,,,25SL0001,SLDA,GA01R,SL003,,1,25SL0001GAMMA1BLK,09-May-2025,1207,,,,12-Mar-2025,1700,25SL0001GAMMA1,25SL0001GAMMA1,,,,CS-137,RN,=,4.55,6.98,2,,,,,pCi/L,,,,,,,1.0,,,,,Y,,,,,8.78,-10.20,,,,,,
