,Method,SampleID,Detector,Geometry,AcquisitionDateTime,AnalysisDateTime,Livetime,EnergyCalibrationDateTime,EfficiencyCalibrationDateTime,SampleDateTime,SampleSize,SampleSizeUnits,ResultUnits,ErrorMultiplier,Analyte,NuclideDetected,Result,ResultError,MDA,MDAError,ResultMDARatio,BatchID,SDG,Matrix,Aliquot,AliquotUnits,PrepDateTime,PrepsheetFilePath,ResultType
0,GammaSpec,Sample 1,DET02,500MARSOIL,2024-10-02 14:56:00,2024-10-02 15:56:00,3600,2024-09-30 12:03:00,2024-09-30 12:05:00,2024-09-27 10:40:00,750.0,grams,pCi,2.0,K-40,YES,20.7,2.66,0.27,0.0331,76.455,25SLB0008,25SL0001,Soil,1.0,mL,2025-03-13 14:14:00,\\ServerName\Lab Data\Lab\Prepsheets\Prep-25SLB0008.json,REG
1,GammaSpec,Sample 1,DET02,500MARSOIL,2024-10-02 14:56:00,2024-10-02 15:56:00,3600,2024-09-30 12:03:00,2024-09-30 12:05:00,2024-09-27 10:40:00,750.0,grams,pCi,2.0,CS-137,NO,-0.0242,0.0178,0.0275,0.00116,-0.879,25SLB0008,25SL0001,Soil,1.0,mL,2025-03-13 14:14:00,\\ServerName\Lab Data\Lab\Prepsheets\Prep-25SLB0008.json,REG
2,GammaSpec,Sample 1,DET02,500MARSOIL,2024-10-02 14:56:00,2024-10-02 15:56:00,3600,2024-09-30 12:03:00,2024-09-30 12:05:00,2024-09-27 10:40:00,750.0,grams,pCi,2.0,PB-210,YES,1.58,0.397,0.557,0.0472,2.833,25SLB0008,25SL0001,Soil,1.0,mL,2025-03-13 14:14:00,\\ServerName\Lab Data\Lab\Prepsheets\Prep-25SLB0008.json,REG
3,GammaSpec,Sample 1,DET02,500MARSOIL,2024-10-02 14:56:00,2024-10-02 15:56:00,3600,2024-09-30 12:03:00,2024-09-30 12:05:00,2024-09-27 10:40:00,750.0,grams,pCi,2.0,RA-226,YES,1.1,0.0509,0.0452,0.00248,24.372,25SLB0008,25SL0001,Soil,1.0,mL,2025-03-13 14:14:00,\\ServerName\Lab Data\Lab\Prepsheets\Prep-25SLB0008.json,REG
4,GammaSpec,Sample 1,DET02,500MARSOIL,2024-10-02 14:56:00,2024-10-02 15:56:00,3600,2024-09-30 12:03:00,2024-09-30 12:05:00,2024-09-27 10:40:00,750.0,grams,pCi,2.0,AC-227,NO,-0.0909,0.169,0.28,0.0218,-0.324,25SLB0008,25SL0001,Soil,1.0,mL,2025-03-13 14:14:00,\\ServerName\Lab Data\Lab\Prepsheets\Prep-25SLB0008.json,REG
5,GammaSpec,Sample 1,DET02,500MARSOIL,2024-10-02 14:56:00,2024-10-02 15:56:00,3600,2024-09-30 12:03:00,2024-09-30 12:05:00,2024-09-27 10:40:00,750.0,grams,pCi,2.0,AC-228,YES,0.906,0.112,0.0723,0.0147,12.533,25SLB0008,25SL0001,Soil,1.0,mL,2025-03-13 14:14:00,\\ServerName\Lab Data\Lab\Prepsheets\Prep-25SLB0008.json,REG
6,GammaSpec,Sample 1,DET02,500MARSOIL,2024-10-02 14:56:00,2024-10-02 15:56:00,3600,2024-09-30 12:03:00,2024-09-30 12:05:00,2024-09-27 10:40:00,750.0,grams,pCi,2.0,TH-230,NO,1.68,3.38,5.65,0.721,0.298,25SLB0008,25SL0001,Soil,1.0,mL,2025-03-13 14:14:00,\\ServerName\Lab Data\Lab\Prepsheets\Prep-25SLB0008.json,REG
7,GammaSpec,Sample 1,DET02,500MARSOIL,2024-10-02 14:56:00,2024-10-02 15:56:00,3600,2024-09-30 12:03:00,2024-09-30 12:05:00,2024-09-27 10:40:00,750.0,grams,pCi,2.0,PA-231,NO,0.0623,0.613,1.04,0.138,0.06,25SLB0008,25SL0001,Soil,1.0,mL,2025-03-13 14:14:00,\\ServerName\Lab Data\Lab\Prepsheets\Prep-25SLB0008.json,REG
8,GammaSpec,Sample 1,DET02,500MARSOIL,2024-10-02 14:56:00,2024-10-02 15:56:00,3600,2024-09-30 12:03:00,2024-09-30 12:05:00,2024-09-27 10:40:00,750.0,grams,pCi,2.0,U-235,NO,-0.00953,0.209,0.35,0.0618,-0.027,25SLB0008,25SL0001,Soil,1.0,mL,2025-03-13 14:14:00,\\ServerName\Lab Data\Lab\Prepsheets\Prep-25SLB0008.json,REG
9,GammaSpec,Sample 1,DET02,500MARSOIL,2024-10-02 14:56:00,2024-10-02 15:56:00,3600,2024-09-30 12:03:00,2024-09-30 12:05:00,2024-09-27 10:40:00,750.0,grams,pCi,2.0,U-238,YES,1.5,0.241,0.419,0.0656,3.583,25SLB0008,25SL0001,Soil,1.0,mL,2025-03-13 14:14:00,\\ServerName\Lab Data\Lab\Prepsheets\Prep-25SLB0008.json,REG
10,GammaSpec,Sample 1,DET02,500MARSOIL,2024-10-02 14:56:00,2024-10-02 15:56:00,3600,2024-09-30 12:03:00,2024-09-30 12:05:00,2024-09-27 10:40:00,750.0,grams,pCi,2.0,AM-241,NO,-0.00378,0.0352,0.0583,0.00369,-0.065,25SLB0008,25SL0001,Soil,1.0,mL,2025-03-13 14:14:00,\\ServerName\Lab Data\Lab\Prepsheets\Prep-25SLB0008.json,REG
11,GammaSpec,Sample 2,DET02,500MARSOIL,2024-10-02 14:56:00,2024-10-02 15:56:00,3600,2024-09-30 12:03:00,2024-09-30 12:05:00,2024-09-27 10:40:00,750.0,grams,pCi,2.0,K-40,YES,20.7,2.66,0.27,0.0331,76.455,25SLB0008,25SL0001,Soil,1.0,mL,2025-03-13 14:14:00,\\ServerName\Lab Data\Lab\Prepsheets\Prep-25SLB0008.json,REG
