SDG,SampleID,ResultType,FilePath,ResultUnits,MicroGrams,Iteration,BatchID,Matrix,Method,Analyte,Result,PPB,AnalysisDateTime,Reporting,TracerAliquotGrams,TracerRecovery,NetArea,AlphaBatchID,FileName,AlphaChamber,BackgroundArea,Detector,PercentAbundance,ChamberEfficiency,MDAConfidenceFactor,AcquisitionDateTime,ResultError,AnalysisDate,MDALLDConstant,MDA,SampleAliquot,EnergyCalibrationDateTime,ElapsedLiveTime,EfficiencyCalibrationDateTime,TracerFWHM,MassUnits,BackgroundFile,SampleTime,DateReceived,TimeReceived,ReceivedBy,LocationID,DQO,SampleVolume,Count,CPM,SampleDate
25SL0001,25SLB0001BLK,BLK,\\sldafileserver\lims\LIMS\Data\Processed Data\Fluorescence\25SLB0001.csv,RFU,-0.00445,1,25SLB0001,Smear,Fluorescence,Beryllium,733.09,-0.04447,2025-02-11 16:24:38,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25SL0001,25SLB0001CAL1,CAL1,\\sldafileserver\lims\LIMS\Data\Processed Data\Fluorescence\25SLB0001.csv,RFU,0.0,1,25SLB0001,Smear,Fluorescence,Beryllium,1099.77,0.0,2025-02-11 16:24:38,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25SL0001,25SLB0001CAL2,CAL2,\\sldafileserver\lims\LIMS\Data\Processed Data\Fluorescence\25SLB0001.csv,RFU,0.005,1,25SLB0001,Smear,Fluorescence,Beryllium,1251.18,0.05,2025-02-11 16:24:38,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25SL0001,25SLB0001CAL3,CAL3,\\sldafileserver\lims\LIMS\Data\Processed Data\Fluorescence\25SLB0001.csv,RFU,0.2,1,25SLB0001,Smear,Fluorescence,Beryllium,6872.42,2.0,2025-02-11 16:24:38,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25SL0001,25SLB0001CAL4,CAL4,\\sldafileserver\lims\LIMS\Data\Processed Data\Fluorescence\25SLB0001.csv,RFU,1.0,1,25SLB0001,Smear,Fluorescence,Beryllium,31313.9,10.0,2025-02-11 16:24:38,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25SL0001,25SLB0001CAL5,CAL5,\\sldafileserver\lims\LIMS\Data\Processed Data\Fluorescence\25SLB0001.csv,RFU,4.0,1,25SLB0001,Smear,Fluorescence,Beryllium,124342.61,40.0,2025-02-11 16:24:38,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25SL0001,25SLB0001LCS,LCS,\\sldafileserver\lims\LIMS\Data\Processed Data\Fluorescence\25SLB0001.csv,RFU,0.46968,1,25SLB0001,Smear,Fluorescence,Beryllium,15355.59,4.69678,2025-02-11 16:24:38,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25SL0001,25SLB0002BLK,BLK,,pCi,,1,25SLB0002,Smear,ISOU,U232,16.3758,,2024-10-03 13:28:48,True,0.269,93.9226,412.833,YU02,U232-LRS038,B_1_2A,0.166667,DET 15,100.0,19.6267,3.29,2024-10-01 13:22:01,1.85486,2024-09-30 16:00:03,3.0,0.176548,0.2572,2024-01-02 11:40:57,14400.0,2024-01-02 11:40:58,28.9202,grams,C:\Canberra\ApexAlpha\Root\Data\0000025008.Cnf,,,,,,,,,,
25SL0001,25SLB0002BLK,BLK,,pCi,,1,25SLB0002,Smear,ISOU,U-234,0.0793319,,2024-10-03 13:28:48,True,0.269,93.9226,2.0,YU02,U232-LRS038,B_1_2A,0.0,DET 15,100.0,19.6267,3.29,2024-10-01 13:22:01,0.1377,2024-09-30 16:00:03,3.0,0.249499,0.2572,2024-01-02 11:40:57,14400.0,2024-01-02 11:40:58,28.9202,grams,C:\Canberra\ApexAlpha\Root\Data\0000025008.Cnf,,,,,,,,,,
25SL0001,25SLB0002BLK,BLK,,pCi,,1,25SLB0002,Smear,ISOU,U-235,0.0,,2024-10-03 13:28:48,True,0.269,93.9226,0.0,YU02,U232-LRS038,B_1_2A,0.0,DET 15,100.0,19.6267,3.29,2024-10-01 13:22:01,0.138403,2024-09-30 16:00:03,3.0,0.307787,0.2572,2024-01-02 11:40:57,14400.0,2024-01-02 11:40:58,28.9202,grams,C:\Canberra\ApexAlpha\Root\Data\0000025008.Cnf,,,,,,,,,,
